Материнская плата HTC Desire 616 Dual На запчасти,500   ₽,Римская,https://www.avito.ru/moskva/telefony/materinskaya_plata_htc_desire_616_dual_na_zapchasti_1052908314
HTC desire 326g dual SIM,1 200   ₽,Улица Старокачаловская,https://www.avito.ru/moskva/telefony/htc_desire_326g_dual_sim_1592409257
HTC desire 626,3 000   ₽,Первомайская,https://www.avito.ru/moskva/telefony/htc_desire_626_1820362611
HTC hero,1 500   ₽,Преображенская площадь,https://www.avito.ru/moskva/telefony/htc_hero_1189552887
Телефон htc,500   ₽,Селигерская,https://www.avito.ru/moskva/telefony/telefon_htc_1791032888
HTC Desire 826 Dual Sim,2 500   ₽,Киевская,https://www.avito.ru/moskva/telefony/htc_desire_826_dual_sim_1649610540
Htc u ultra,8 000   ₽,Новокузнецкая,https://www.avito.ru/moskva/telefony/htc_u_ultra_1820057649
HTC 526,1 900   ₽,Текстильщики,https://www.avito.ru/moskva/telefony/htc_526_1803765408
HTC one mini 2,4 000   ₽,Бабушкинская,https://www.avito.ru/moskva/telefony/htc_one_mini_2_1802163882
HTC Desire C A320e Red На запчасти,500   ₽,Римская,https://www.avito.ru/moskva/telefony/htc_desire_c_a320e_red_na_zapchasti_860427669
HTC Desire 400,1 000   ₽,Академическая,https://www.avito.ru/moskva/telefony/htc_desire_400_1799878790
HTC м8 dual 32гб,4 000   ₽,Царицыно,https://www.avito.ru/moskva/telefony/htc_m8_dual_32gb_1244714319
HTC Mozart,2 000   ₽,Аннино,https://www.avito.ru/moskva/telefony/htc_mozart_1549554375
HTC MyTouch 4G Slide PG59100 На запчасти,500   ₽,Римская,https://www.avito.ru/moskva/telefony/htc_mytouch_4g_slide_pg59100_na_zapchasti_1075079871
Зарядное устройство HTC,400   ₽,Охотный ряд,https://www.avito.ru/moskva/telefony/zaryadnoe_ustroystvo_htc_607131408
HTC T3333 Touch2,500   ₽,Планерная,https://www.avito.ru/moskva/telefony/htc_t3333_touch2_1465622467
HTC,499   ₽,Проспект Вернадского,https://www.avito.ru/moskva/telefony/htc_1520153794
Htс hero,1 500   ₽,Новокосино,https://www.avito.ru/moskva/telefony/hts_hero_1780676013
HTC one S,3 000   ₽,Бабушкинская,https://www.avito.ru/moskva/telefony/htc_one_s_1802471950
HTC Desire 628h dual sim,4 500   ₽,Лермонтовский проспект,https://www.avito.ru/moskva/telefony/htc_desire_628h_dual_sim_1793950996
HTC Wildfire A3333,500   ₽,Крылатское,https://www.avito.ru/moskva/telefony/htc_wildfire_a3333_1820710735
Телефон HTC Smart (F3188),1 500   ₽,Лермонтовский проспект,https://www.avito.ru/moskva/telefony/telefon_htc_smart_f3188_1426652518
HTC500 dual SIM,1 100   ₽,Улица Скобелевская,https://www.avito.ru/moskva/telefony/htc500_dual_sim_1787584875
Телефон HTC Desire HD9191,500   ₽,Лихоборы,https://www.avito.ru/moskva/telefony/telefon_htc_desire_hd9191_1815518652
Htc touch2,500   ₽,Авиамоторная,https://www.avito.ru/moskva/telefony/htc_touch2_1555181967
Смартфон HTC Rhyme,2 500   ₽,Крымская,https://www.avito.ru/moskva/telefony/smartfon_htc_rhyme_1801213958
HTC Desire S S510e,400   ₽,Перово,https://www.avito.ru/moskva/telefony/htc_desire_s_s510e_888946115
Htc one mini 2,1 500   ₽,Медведково,https://www.avito.ru/moskva/telefony/htc_one_mini_2_1796853766
HTC Desire 610 Navy Blue,2 500   ₽,Лесопарковая,https://www.avito.ru/moskva/telefony/htc_desire_610_navy_blue_974292218
Htc 10,4 700   ₽,Профсоюзная,https://www.avito.ru/moskva/telefony/htc_10_1800018335
Смартфон HTC Wildfire E (2019),6 000   ₽,Октябрьское поле,https://www.avito.ru/moskva/telefony/smartfon_htc_wildfire_e_2019_1802334504
HTC Desire 500 Dual Sim,2 000   ₽,Медведково,https://www.avito.ru/moskva/telefony/htc_desire_500_dual_sim_1431484919
HTC Rhyme,1 999   ₽,Киевская,https://www.avito.ru/moskva/telefony/htc_rhyme_1796094741
HTC One m7,1 500   ₽,Фрунзенская,https://www.avito.ru/moskva/telefony/htc_one_m7_1761035157
HTC Desire 630 dual sim,3 000   ₽,Алтуфьево,https://www.avito.ru/moskva/telefony/htc_desire_630_dual_sim_1613015834
HTC Desire 626,4 500   ₽,Боровское шоссе,https://www.avito.ru/moskva/telefony/htc_desire_626_1790397016
HTC Wildfire A3333,1 500   ₽,Семеновская,https://www.avito.ru/moskva/telefony/htc_wildfire_a3333_1826343938
HTC Touch P3450 Elf,800   ₽,Фонвизинская,https://www.avito.ru/moskva/telefony/htc_touch_p3450_elf_872263099
Htc 10,8 000   ₽, ,https://www.avito.ru/moskva_zelenograd/telefony/htc_10_1799763047?slocation=637640
HTC HD2,1 500   ₽,Озёрная,https://www.avito.ru/moskva/telefony/htc_hd2_1799114651
HTC U11 Plus 64 gb,17 500   ₽,Шипиловская,https://www.avito.ru/moskva/telefony/htc_u11_plus_64_gb_1764895273
HTC Desire 210 dual sim,500   ₽,Текстильщики,https://www.avito.ru/moskva/telefony/htc_desire_210_dual_sim_1289777891
HTC desire S,1 000   ₽,Отрадное,https://www.avito.ru/moskva/telefony/htc_desire_s_959693006
HTC Desire S,500   ₽,Ховрино,https://www.avito.ru/moskva/telefony/htc_desire_s_1638287830
Htc one mini 2,4 000   ₽,Университет,https://www.avito.ru/moskva/telefony/htc_one_mini_2_1769276046
Смартфон HTC desire 526 dual sim,1 500   ₽,Партизанская,https://www.avito.ru/moskva/telefony/smartfon_htc_desire_526_dual_sim_1811629507
Аккумулятор HTC Chacha G16 BH06100 Оригинал,200   ₽,Римская,https://www.avito.ru/moskva/telefony/akkumulyator_htc_chacha_g16_bh06100_original_763655407
HTC Desire S (S510e),2 300   ₽,Шаболовская,https://www.avito.ru/moskva/telefony/htc_desire_s_s510e_963270016
HTC desire HD/ HTC one mini на запчасти,100   ₽,Кузьминки,https://www.avito.ru/moskva/telefony/htc_desire_hd_htc_one_mini_na_zapchasti_1795257484
HTC HD2 в хорошем состоянии,1 000   ₽,Римская,https://www.avito.ru/moskva/telefony/htc_hd2_v_horoshem_sostoyanii_1624458917
HTC 816,4 500   ₽,Щелковская,https://www.avito.ru/moskva/telefony/htc_816_543523827
Wildfire S,1 000   ₽,Шипиловская,https://www.avito.ru/moskva/telefony/wildfire_s_704769058
HTC T328V,2 000   ₽,Ботанический сад,https://www.avito.ru/moskva/telefony/htc_t328v_1546515494
HTC HD Камера 8.0,1 800   ₽,Пролетарская,https://www.avito.ru/moskva/telefony/htc_hd_kamera_8.0_1818648026
Htc One M8,5 000   ₽,Авиамоторная,https://www.avito.ru/moskva/telefony/htc_one_m8_1046155918
HTC one a9,5 000   ₽,Бибирево,https://www.avito.ru/moskva/telefony/htc_one_a9_1521265866
HTC explorer A310e,1 800   ₽,Медведково,https://www.avito.ru/moskva/telefony/htc_explorer_a310e_921543646
Аккумулятор HTC One M7/HTC Butterfly S (BN07100),500   ₽,Савеловская,https://www.avito.ru/moskva/telefony/akkumulyator_htc_one_m7htc_butterfly_s_bn07100_775520159
HTC salsa,1 500   ₽,Кутузовская,https://www.avito.ru/moskva/telefony/htc_salsa_1447794381
HTC One E9 + Plus,9 000   ₽,Отрадное,https://www.avito.ru/moskva/telefony/htc_one_e9_plus_1060594478
Защитное стекло HTC One Mini/HTC One Mini 2,100   ₽,Савеловская,https://www.avito.ru/moskva/telefony/zaschitnoe_steklo_htc_one_minihtc_one_mini_2_772228630
HTC htc обмен,1 200   ₽,Охотный ряд,https://www.avito.ru/moskva/telefony/htc_htc_obmen_1776454168
HTC Nexus One,500   ₽,Медведково,https://www.avito.ru/moskva/telefony/htc_nexus_one_1802724899
HTC HD2 t8585 Дисконт Уникальной Техники,980   ₽,Дмитровская,https://www.avito.ru/moskva/telefony/htc_hd2_t8585_diskont_unikalnoy_tehniki_1352800896
HTC one V,1 000   ₽,Беляево,https://www.avito.ru/moskva/telefony/htc_one_v_1604226546
"Зарядка htc t328w, t328t, g14, z710e, evo3d",200   ₽,Киевская,https://www.avito.ru/moskva/telefony/zaryadka_htc_t328w_t328t_g14_z710e_evo3d_1434513640
Аккумулятор HTC One X/HTC One S (BJ83100),500   ₽,Савеловская,https://www.avito.ru/moskva/telefony/akkumulyator_htc_one_xhtc_one_s_bj83100_775591290
Смартфон HTC One 32GB,3 000   ₽,Нагорная,https://www.avito.ru/moskva/telefony/smartfon_htc_one_32gb_1777050796
HTC One V,2 000   ₽,Выхино,https://www.avito.ru/moskva/telefony/htc_one_v_1796834315
HTC,2 000   ₽,Ленинский проспект,https://www.avito.ru/moskva/telefony/htc_1641384689
Htc one mini 2 gold,3 800   ₽,Братиславская,https://www.avito.ru/moskva/telefony/htc_one_mini_2_gold_1670541946
Htc Desire SV не работает тач,1 000   ₽,Первомайская,https://www.avito.ru/moskva/telefony/htc_desire_sv_ne_rabotaet_tach_1820254434
Корпус HTC HD Mini T5555 Оригинал,250   ₽,Римская,https://www.avito.ru/moskva/telefony/korpus_htc_hd_mini_t5555_original_749847477
